"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 11:05:59 IST 2022","Mon Nov 14 11:07:17 IST 2022","77970","","","","","","PS-993",""
"passed","Mon Nov 14 12:08:43 IST 2022","Mon Nov 14 12:23:07 IST 2022","864400","","","","","","PS-994",""
